timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4248,-5.25,-22.45,1015.65,140.0,-157.5,-35.0
4278,-5.25,-22.45,1015.65,122.5,-175.0,-35.0
4307,-5.25,-22.45,1015.65,122.5,-175.0,-35.0
4337,-5.25,-22.45,1015.65,122.5,-192.5,-35.0
4366,-5.25,-22.57,1015.65,122.5,-192.5,-35.0
4395,-5.12,-22.57,1015.65,140.0,-175.0,-17.5
4425,-5.25,-22.57,1015.65,122.5,-175.0,-17.5
4454,-5.25,-22.57,1015.53,105.0,-175.0,-35.0
4484,-5.25,-22.57,1015.53,105.0,-175.0,-35.0
4513,-5.25,-22.57,1015.53,140.0,-175.0,-17.5
4543,-5.25,-22.57,1015.53,140.0,-175.0,-17.5
4572,-5.25,-22.57,1015.53,140.0,-175.0,-17.5
4602,-5.25,-22.57,1015.53,122.5,-192.5,-35.0
4631,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
4661,-5.25,-22.57,1015.65,122.5,-175.0,-35.0
4690,-5.25,-22.57,1015.65,105.0,-192.5,-35.0
4720,-5.25,-22.45,1015.65,122.5,-157.5,-35.0
4749,-5.25,-22.57,1015.65,122.5,-175.0,-35.0
4779,-5.37,-22.45,1015.65,122.5,-175.0,-17.5
4808,-5.37,-22.45,1015.65,140.0,-175.0,-17.5
4838,-5.37,-22.45,1015.65,105.0,-175.0,-35.0
4867,-5.37,-22.57,1015.77,122.5,-175.0,-17.5
4896,-5.37,-22.57,1015.65,122.5,-157.5,-17.5
4926,-5.37,-22.45,1015.65,140.0,-157.5,-17.5
4955,-5.37,-22.45,1015.65,122.5,-192.5,-17.5
4985,-5.37,-22.45,1015.65,87.5,-175.0,-17.5
5014,-5.37,-22.57,1015.65,87.5,-175.0,-17.5
5044,-5.37,-22.45,1015.65,105.0,-175.0,-35.0
5073,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5103,-5.25,-22.45,1015.53,105.0,-192.5,-35.0
5132,-5.25,-22.45,1015.53,122.5,-175.0,-17.5
5162,-5.12,-22.57,1015.53,122.5,-192.5,-17.5
5191,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5221,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5250,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5280,-5.25,-22.45,1015.53,122.5,-175.0,-35.0
5309,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5339,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5368,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5398,-5.12,-22.57,1015.53,122.5,-175.0,-17.5
5428,-5.25,-22.57,1015.53,122.5,-175.0,-17.5
5457,-5.25,-22.57,1015.53,105.0,-175.0,-17.5
5487,-5.25,-22.57,1015.53,122.5,-175.0,-17.5
5516,-5.25,-22.57,1015.53,122.5,-192.5,-35.0
5546,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
5575,-5.25,-22.57,1015.65,122.5,-175.0,-17.5
5605,-5.25,-22.57,1015.65,105.0,-175.0,-35.0
5634,-5.25,-22.57,1015.53,87.5,-175.0,-35.0
5664,-5.25,-22.57,1015.53,105.0,-192.5,-52.5
5693,-5.37,-22.57,1015.53,122.5,-192.5,-52.5
5723,-5.37,-22.57,1015.41,122.5,-175.0,-35.0
5752,-5.25,-22.57,1015.41,122.5,-192.5,-35.0
5782,-5.25,-22.69,1015.41,140.0,-192.5,-17.5
5811,-5.25,-22.69,1015.41,122.5,-192.5,-17.5
5841,-5.25,-22.69,1015.28,105.0,-175.0,-52.5
5870,-5.25,-22.69,1015.28,122.5,-175.0,-35.0
5900,-5.25,-22.69,1015.28,122.5,-175.0,-35.0
5930,-5.25,-22.57,1015.28,122.5,-175.0,-35.0
5959,-5.25,-22.57,1015.28,122.5,-192.5,-35.0
5989,-5.25,-22.57,1015.28,122.5,-192.5,-52.5
6018,-5.25,-22.57,1015.28,140.0,-192.5,-35.0
6048,-5.25,-22.57,1015.28,105.0,-175.0,-17.5
6077,-5.37,-22.57,1015.28,105.0,-175.0,-17.5
6107,-5.37,-22.69,1015.16,105.0,-175.0,-35.0
6136,-5.37,-22.69,1015.16,105.0,-175.0,-17.5
6166,-5.37,-22.69,1015.16,105.0,-192.5,-17.5
6195,-5.37,-22.69,1015.04,122.5,-175.0,-35.0
6225,-5.37,-22.69,1015.04,122.5,-175.0,-17.5
6254,-5.37,-22.69,1015.04,122.5,-175.0,-17.5
6284,-5.37,-22.69,1015.04,122.5,-175.0,-35.0
6313,-5.37,-22.69,1015.04,122.5,-157.5,-17.5
6343,-5.37,-22.69,1015.04,122.5,-175.0,-17.5
6372,-5.37,-22.69,1015.04,122.5,-157.5,-35.0
6402,-5.37,-22.69,1015.04,140.0,-175.0,-35.0
6432,-5.25,-22.69,1015.04,122.5,-175.0,-17.5
6461,-5.25,-22.69,1015.04,105.0,-175.0,-35.0
6491,-5.25,-22.69,1015.16,122.5,-175.0,-35.0
6520,-5.25,-22.69,1015.16,122.5,-175.0,-17.5
6550,-5.25,-22.69,1015.16,140.0,-175.0,-17.5
6579,-5.25,-22.69,1015.28,140.0,-157.5,-17.5
6609,-5.25,-22.69,1015.28,122.5,-175.0,-17.5
6638,-5.25,-22.69,1015.28,122.5,-175.0,-35.0
6668,-5.25,-22.69,1015.28,105.0,-175.0,-17.5
6697,-5.25,-22.69,1015.28,122.5,-175.0,-17.5
6727,-5.37,-22.69,1015.28,87.5,-175.0,-35.0
6756,-5.25,-22.69,1015.28,140.0,-175.0,-35.0
6786,-5.25,-22.69,1015.28,122.5,-192.5,-35.0
6815,-5.25,-22.69,1015.28,105.0,-175.0,-35.0
6845,-5.25,-22.69,1015.28,122.5,-175.0,-35.0
6874,-5.12,-22.69,1015.28,122.5,-175.0,-35.0
6903,-5.25,-22.69,1015.28,105.0,-175.0,-35.0
6933,-5.25,-22.69,1015.28,122.5,-192.5,-35.0
6962,-5.25,-22.69,1015.28,122.5,-192.5,-35.0
6992,-5.25,-22.69,1015.28,122.5,-175.0,-17.5
7021,-5.25,-22.69,1015.28,105.0,-157.5,-17.5
7051,-5.25,-22.69,1015.28,105.0,-157.5,-17.5
7080,-5.25,-22.69,1015.28,122.5,-175.0,-35.0
7110,-5.25,-22.69,1015.28,105.0,-175.0,-35.0
7139,-5.25,-22.69,1015.28,122.5,-192.5,-35.0
7169,-5.25,-22.69,1015.28,122.5,-192.5,-35.0
7198,-5.25,-22.69,1015.28,140.0,-175.0,-35.0
7228,-5.12,-22.69,1015.28,105.0,-175.0,-35.0
7257,-5.25,-22.69,1015.28,122.5,-175.0,-35.0
7287,-5.12,-22.69,1015.16,122.5,-157.5,-35.0
7316,-5.12,-22.69,1015.16,122.5,-175.0,-17.5
7345,-5.12,-22.69,1015.28,122.5,-192.5,-17.5
7375,-5.25,-22.69,1015.16,140.0,-175.0,-17.5
7404,-5.25,-22.69,1015.16,122.5,-157.5,-17.5
7434,-5.25,-22.69,1015.04,105.0,-175.0,-17.5
7463,-5.25,-22.69,1015.04,122.5,-175.0,-17.5
7493,-5.25,-22.69,1015.04,122.5,-192.5,0.0
7522,-5.12,-22.69,1015.04,122.5,-175.0,-35.0
7552,-5.25,-22.69,1015.04,122.5,-192.5,-35.0
7581,-5.12,-22.69,1015.04,105.0,-192.5,-35.0
7611,-5.25,-22.69,1015.04,122.5,-175.0,-17.5
7640,-5.25,-22.69,1015.04,122.5,-192.5,-17.5
7670,-5.12,-22.69,1015.04,140.0,-175.0,-17.5
7699,-5.25,-22.69,1015.04,122.5,-175.0,-35.0
7729,-5.25,-22.69,1015.04,122.5,-157.5,-35.0
7758,-5.25,-22.69,1015.04,105.0,-175.0,-17.5
7788,-5.25,-22.69,1015.04,122.5,-192.5,-17.5
7817,-5.12,-22.69,1015.04,122.5,-175.0,-17.5
7846,-5.12,-22.69,1015.04,122.5,-157.5,-35.0
7876,-5.25,-22.69,1015.04,122.5,-192.5,-35.0
7905,-5.25,-22.69,1015.04,122.5,-175.0,-35.0
7935,-5.25,-22.69,1014.92,105.0,-175.0,-35.0
7964,-5.25,-22.69,1014.92,122.5,-175.0,-35.0
7994,-5.25,-22.69,1014.92,140.0,-175.0,-17.5
8023,-5.12,-22.69,1014.92,140.0,-175.0,-35.0
8053,-5.12,-22.69,1014.92,122.5,-157.5,-35.0
8082,-5.12,-22.69,1014.8,122.5,-192.5,-17.5
8112,-5.12,-22.69,1014.8,122.5,-175.0,-35.0
8141,-5.25,-22.69,1014.8,140.0,-175.0,-35.0
8171,-5.25,-22.69,1014.8,122.5,-175.0,-35.0
8200,-5.25,-22.69,1014.8,122.5,-175.0,-17.5
8230,-5.25,-22.69,1014.67,157.5,-175.0,-35.0
8260,-5.12,-22.69,1014.67,122.5,-157.5,-35.0
8289,-5.12,-22.69,1014.67,105.0,-192.5,-35.0
8319,-5.25,-22.69,1014.8,87.5,-175.0,-52.5
8348,-5.25,-22.69,1014.8,105.0,-175.0,-17.5
8378,-5.25,-22.69,1014.67,140.0,-175.0,-17.5
8407,-5.25,-22.69,1014.67,122.5,-157.5,-17.5
8437,-5.25,-22.69,1014.67,105.0,-175.0,-17.5
8466,-5.25,-22.69,1014.67,122.5,-175.0,-35.0
8496,-5.25,-22.69,1014.67,122.5,-192.5,-35.0
8525,-5.25,-22.69,1014.67,122.5,-175.0,-35.0
8555,-5.25,-22.69,1014.67,105.0,-175.0,-17.5
8584,-5.25,-22.69,1014.67,105.0,-175.0,-17.5
8614,-5.12,-22.69,1014.67,122.5,-175.0,-17.5
8643,-5.12,-22.69,1014.67,140.0,-175.0,-17.5
8673,-5.12,-22.69,1014.8,122.5,-210.0,-35.0
8703,-5.25,-22.69,1014.8,122.5,-175.0,-35.0
8732,-5.25,-22.69,1014.8,122.5,-192.5,-35.0
8762,-5.25,-22.69,1014.8,105.0,-175.0,-17.5
8791,-5.25,-22.69,1014.67,105.0,-175.0,-17.5
8821,-5.25,-22.69,1014.67,105.0,-175.0,-35.0
8850,-5.25,-22.69,1014.55,122.5,-175.0,-35.0
8880,-5.25,-22.69,1014.55,122.5,-175.0,-35.0
8909,-5.25,-22.69,1014.43,105.0,-175.0,-35.0
8939,-5.25,-22.69,1014.43,105.0,-175.0,-35.0
8968,-5.37,-22.69,1014.55,105.0,-192.5,-35.0
8998,-5.25,-22.69,1014.55,122.5,-175.0,-52.5
9027,-5.25,-22.69,1014.55,122.5,-175.0,-17.5
9057,-5.25,-22.69,1014.55,122.5,-175.0,-17.5
9086,-5.25,-22.69,1014.55,122.5,-175.0,-35.0
9115,-5.25,-22.69,1014.55,122.5,-175.0,-35.0
9145,-5.25,-22.69,1014.55,122.5,-175.0,-35.0
9174,-5.25,-22.69,1014.55,122.5,-157.5,-35.0
9204,-5.25,-22.69,1014.55,105.0,-175.0,-35.0
9233,-5.25,-22.69,1014.55,122.5,-157.5,-35.0
9263,-5.25,-22.69,1014.67,105.0,-157.5,-35.0
9292,-5.25,-22.69,1014.67,105.0,-175.0,-35.0
9322,-5.12,-22.69,1014.67,122.5,-192.5,-35.0
9351,-5.12,-22.69,1014.67,122.5,-175.0,-35.0
9381,-5.12,-22.69,1014.8,122.5,-175.0,-17.5
9410,-5.12,-22.69,1014.67,140.0,-192.5,-17.5
9440,-5.12,-22.69,1014.67,122.5,-175.0,-35.0
9469,-5.25,-22.69,1014.8,122.5,-157.5,-35.0
9499,-5.25,-22.69,1014.8,122.5,-192.5,-35.0
9528,-5.12,-22.69,1014.8,105.0,-175.0,-35.0
9557,-5.12,-22.69,1014.8,105.0,-175.0,-35.0
9587,-5.25,-22.69,1014.8,122.5,-175.0,-35.0
9616,-5.12,-22.69,1014.8,122.5,-175.0,-35.0
9646,-5.25,-22.69,1014.8,122.5,-157.5,-35.0
