timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
8079,-361.73,-318.05,1075.31,-6405.0,33390.0,117775.0
8108,-337.21,-321.35,1057.13,-31815.0,19022.5,129570.0
8136,-251.2,-329.52,1076.89,-27142.5,31220.0,111737.5
8165,-111.02,-334.89,1117.4,-8592.5,21227.5,57137.5
8194,40.26,-336.23,1156.07,12547.5,8120.0,-21490.0
8223,148.23,-338.67,1174.01,28577.5,-21000.0,-85750.0
8252,195.32,-346.36,1165.95,26512.5,-37450.0,-119455.0
8281,186.54,-355.02,1144.24,11200.0,-27860.0,-133455.0
8310,110.17,-354.29,1126.06,-8400.0,-56332.5,-122832.5
8338,-29.4,-335.74,1125.57,-18515.0,-70630.0,-65415.0
8367,-174.7,-305.98,1138.75,5582.5,-11690.0,16502.5
8395,-273.52,-282.31,1134.11,25112.5,54320.0,78102.5
8424,-321.59,-274.38,1107.76,7000.0,57732.5,115027.5
8452,-325.98,-280.97,1091.17,-10430.0,40652.5,135677.5
8481,-270.23,-295.73,1098.49,-11707.5,47250.0,136640.0
8509,-143.96,-307.68,1123.13,-5057.5,39077.5,86555.0
8538,18.42,-313.05,1152.9,2835.0,3745.0,4200.0
8567,149.57,-319.03,1173.4,14052.5,-29697.5,-73920.0
8596,212.16,-329.52,1172.66,14420.0,-39690.0,-117250.0
8625,212.65,-338.18,1158.15,-1137.5,-36942.5,-137515.0
8653,139.32,-336.48,1148.51,-11480.0,-58887.5,-135012.5
8682,-5.49,-318.79,1155.34,-10727.5,-74637.5,-71837.5
8710,-156.89,-291.82,1167.05,11742.5,-5057.5,14945.0
8739,-258.4,-270.84,1155.58,25585.0,53725.0,78522.5
8767,-307.68,-265.23,1122.4,6037.5,53497.5,114117.5
8796,-314.15,-273.65,1101.66,-17832.5,38080.0,131792.5
8824,-270.84,-287.92,1105.69,-16940.0,37502.5,128992.5
8853,-175.92,-298.05,1119.23,-7857.5,15855.0,95672.5
8882,-38.92,-302.8,1135.33,-4252.5,1312.5,40127.5
8911,105.9,-308.05,1154.36,2782.5,35.0,-30275.0
8940,208.99,-318.66,1168.88,12057.5,-16835.0,-91070.0
8969,250.71,-334.28,1169.61,14052.5,-29820.0,-127680.0
8998,230.95,-345.75,1158.76,5985.0,-23765.0,-142100.0
9026,132.25,-341.36,1149.48,-997.5,-48282.5,-127015.0
9055,-24.28,-316.71,1150.83,1190.0,-55090.0,-50347.5
9083,-165.8,-283.04,1148.02,16642.5,6685.0,28962.5
9112,-254.98,-256.81,1122.16,18375.0,41772.5,86520.0
9140,-292.56,-246.56,1082.14,-4165.0,39025.0,119630.0
9169,-292.68,-251.81,1057.01,-29522.5,19565.0,131967.5
9197,-252.78,-269.01,1063.35,-26880.0,26722.5,135012.5
9226,-152.26,-292.19,1093.97,-19775.0,16572.5,97965.0
9255,-5.12,-313.17,1135.58,-4497.5,-1155.0,29872.5
9284,134.2,-329.52,1165.47,21507.5,-2415.0,-45850.0
9313,224.97,-345.26,1164.98,30257.5,-18620.0,-101220.0
9341,257.42,-360.39,1141.92,18375.0,-23870.0,-130795.0
9370,234.73,-365.88,1118.62,70.0,-16520.0,-136202.5
9398,144.57,-356.0,1107.76,-4795.0,-32340.0,-130952.5
9427,-12.32,-329.52,1111.91,-3395.0,-63490.0,-65975.0
9455,-165.43,-295.48,1123.13,14892.5,6247.5,29890.0
9484,-258.27,-270.35,1110.2,27352.5,67410.0,87885.0
9513,-295.0,-261.69,1071.89,-5215.0,47547.5,120365.0
9542,-275.48,-269.13,1054.81,-36785.0,21927.5,132370.0
9570,-187.88,-286.21,1079.58,-30502.5,29557.5,115097.5
9599,-44.9,-302.8,1120.45,-7980.0,24045.0,50417.5
9628,98.82,-313.66,1152.41,12320.0,-1382.5,-29785.0
9657,195.2,-321.1,1158.27,31657.5,-23415.0,-90807.5
9686,229.97,-326.47,1134.6,22365.0,-35157.5,-125177.5
9714,203.74,-325.74,1106.54,-2852.5,-24622.5,-133770.0
9743,104.19,-312.81,1091.41,-6457.5,-40652.5,-116690.0
9771,-45.14,-288.77,1092.75,-6387.5,-52780.0,-35577.5
9800,-172.02,-264.98,1101.05,7017.5,20597.5,44555.0
9829,-243.51,-249.86,1094.1,13527.5,53357.5,89460.0
9858,-270.72,-246.56,1077.26,-1890.0,27527.5,117390.0
9886,-245.46,-252.54,1080.19,-11445.0,24500.0,119525.0
9915,-172.39,-258.88,1099.71,1400.0,18130.0,88270.0
9944,-61.24,-262.67,1118.98,4760.0,17745.0,55072.5
9973,77.84,-265.96,1137.89,11725.0,19757.5,-11602.5
10002,192.64,-269.25,1146.56,24710.0,-13912.5,-82897.5
10030,246.93,-272.3,1128.87,24132.5,-34755.0,-127925.0
10059,235.34,-275.35,1094.95,-6737.5,-34720.0,-142607.5
10087,152.38,-272.79,1077.87,-25532.5,-32900.0,-125930.0
10116,11.47,-257.91,1089.22,-21332.5,-52272.5,-62142.5
10144,-136.27,-239.24,1108.49,4095.0,-5127.5,21717.5
10173,-239.61,-227.16,1103.73,17465.0,44607.5,86922.5
10201,-287.19,-225.21,1072.99,1627.5,41615.0,118125.0
10230,-292.8,-232.78,1047.49,-17290.0,19950.0,131827.5
10258,-233.75,-247.78,1045.54,-17640.0,26127.5,136815.0
10287,-91.74,-263.52,1062.86,-24972.5,12512.5,80500.0
10316,79.18,-276.21,1097.88,-18970.0,-11900.0,-4340.0
10344,209.47,-291.82,1139.48,13387.5,-15522.5,-84157.5
10373,268.16,-313.42,1161.44,39217.5,-19775.0,-135415.0
10401,258.88,-333.55,1154.85,41632.5,-1890.0,-159670.0
